surface	gold_lemma	gold_asp	gold_ten	gold_mood	gold_gen	gold_num	gold_per	vtype	confidence	cpos	failure_type	n_predicted	pred_lemmas	file	line_no
NULL	null							unknown	none	VM	no_analysis	0		fullnews_id_2578376_date_7_7_2004.dat	62
होती	हो	imperfective			F	S	3	participle	low	VM	wrong_features	2	हो|होत	fullnews_id_2578376_date_7_7_2004.dat	69
थी	था		past		F	S		unknown	none	VM	no_analysis	0		fullnews_id_2578376_date_7_7_2004.dat	90
करते	कर	imperfective			M	S		participle	low	VM	wrong_features	2	कर|करत	fullnews_id_2578376_date_7_7_2004.dat	101
हुआ	हो	perfective			M	S		unknown	none	VM	no_analysis	0		fullnews_id_2578376_date_7_7_2004.dat	148
था	था		past		M	S		unknown	none	VM	no_analysis	0		fullnews_id_2578376_date_7_7_2004.dat	154
चाहेंगे	चाह		future		M	S	3	finite	medium	VM	wrong_features	2	चाह|चाहेंग	fullnews_id_2578376_date_7_7_2004.dat	171
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578376_date_7_7_2004.dat	178
देते	दे	imperfective			M	S	3	participle	low	VM	wrong_features	2	दे|देत	fullnews_id_2578376_date_7_7_2004.dat	184
पलट	पलट				M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578376_date_7_7_2004.dat	188
हुआ	हो	perfective			M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578376_date_7_7_2004.dat	196
निकल	निकल				M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578376_date_7_7_2004.dat	202
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578376_date_7_7_2004.dat	208
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578376_date_7_7_2004.dat	215
छिपा	छिप	perfective			M	S	3	participle	low	VM	wrong_features	1	छिप	fullnews_id_2578376_date_7_7_2004.dat	229
कर	कर				M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578376_date_7_7_2004.dat	235
कर	कर				M	S		unknown	none	VM	no_analysis	0		fullnews_id_2578376_date_7_7_2004.dat	265
हो	हो					S		unknown	none	VM	no_analysis	0		fullnews_id_2578377_date_7_7_2004.dat	9
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578377_date_7_7_2004.dat	13
थे	था		past		M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578377_date_7_7_2004.dat	19
हैं	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578377_date_7_7_2004.dat	29
हैं	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578377_date_7_7_2004.dat	33
करने	कर					S	3	participle	low	VM	wrong_features	2	कर|करन	fullnews_id_2578377_date_7_7_2004.dat	41
हुआ	हो	perfective			M	S		unknown	none	VM	no_analysis	0		fullnews_id_2578377_date_7_7_2004.dat	55
किया	कर	perfective			M	S	3	irregular	high	VM	wrong_features	5	कर|की|के|कि|किय	fullnews_id_2578377_date_7_7_2004.dat	66
लेते	ले	imperfective			M	P	3	participle	low	VM	wrong_features	2	ले|लेत	fullnews_id_2578377_date_7_7_2004.dat	71
आने	आ					P		participle	low	VM	wrong_lemma	1	आन	fullnews_id_2578377_date_7_7_2004.dat	87
देने	दे					S	3	participle	low	VM	wrong_features	2	दे|देन	fullnews_id_2578377_date_7_7_2004.dat	100
की	कर	perfective			F	S	3	irregular	high	VM	wrong_features	1	कर	fullnews_id_2578378_date_7_7_2004.dat	7
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578378_date_7_7_2004.dat	12
करते	कर	imperfective			M	S		participle	low	VM	wrong_features	2	कर|करत	fullnews_id_2578378_date_7_7_2004.dat	21
बनना	बन				M	S	3	participle	low	VM	wrong_features	2	बन|बनन	fullnews_id_2578378_date_7_7_2004.dat	26
रहकर	रह							unknown	none	VM	no_analysis	0		fullnews_id_2578378_date_7_7_2004.dat	35
जुटा	जुटा					S	3	participle	low	VM	wrong_lemma	1	जुट	fullnews_id_2578378_date_7_7_2004.dat	39
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578378_date_7_7_2004.dat	49
मिलने	मिल				F	S	3	participle	low	VM	wrong_features	2	मिल|मिलन	fullnews_id_2578378_date_7_7_2004.dat	56
करते	कर	imperfective			M	S		participle	low	VM	wrong_features	2	कर|करत	fullnews_id_2578378_date_7_7_2004.dat	78
कहा	कह	perfective			M	S	3	participle	low	VM	wrong_features	1	कह	fullnews_id_2578378_date_7_7_2004.dat	80
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578378_date_7_7_2004.dat	86
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578378_date_7_7_2004.dat	97
दे	दे				F	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578378_date_7_7_2004.dat	106
कराई	करा	perfective			F	S	3	participle	low	VM	wrong_features	1	करा	fullnews_id_2578378_date_7_7_2004.dat	113
करते	कर	imperfective			M	S		participle	low	VM	wrong_features	2	कर|करत	fullnews_id_2578378_date_7_7_2004.dat	129
देखते	देख	imperfective			M	S		participle	low	VM	wrong_features	2	देख|देखत	fullnews_id_2578378_date_7_7_2004.dat	137
हैं	है		present			P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578378_date_7_7_2004.dat	143
किए	कर	perfective				S		irregular	high	VM	wrong_features	2	कर|कि	fullnews_id_2578378_date_7_7_2004.dat	150
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578378_date_7_7_2004.dat	154
हो	हो				F	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578378_date_7_7_2004.dat	161
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578378_date_7_7_2004.dat	168
करता	कर	imperfective			M	S	3	participle	low	VM	wrong_features	2	कर|करत	fullnews_id_2578378_date_7_7_2004.dat	175
करता	कर	imperfective			M	S	3	participle	low	VM	wrong_features	2	कर|करत	fullnews_id_2578378_date_7_7_2004.dat	180
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578378_date_7_7_2004.dat	191
हैं	है		present			P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578378_date_7_7_2004.dat	206
किया	कर	perfective			M	S	3	irregular	high	VM	wrong_features	5	कर|की|के|कि|किय	fullnews_id_2578379_date_7_7_2004.dat	9
थे	था		past		M	P		unknown	none	VM	no_analysis	0		fullnews_id_2578379_date_7_7_2004.dat	21
लेकर	ले							unknown	none	VM	no_analysis	0		fullnews_id_2578379_date_7_7_2004.dat	25
होने	हो					S	3	participle	low	VM	wrong_features	2	हो|होन	fullnews_id_2578379_date_7_7_2004.dat	30
दी	दे				F	S	3	irregular	high	VAUX	wrong_features	1	दे	fullnews_id_2578379_date_7_7_2004.dat	35
होगा	हो		future		M	S	3	participle	low	VM	wrong_lemma	1	होग	fullnews_id_2578379_date_7_7_2004.dat	42
हो	हो				M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578379_date_7_7_2004.dat	54
होंगे	हो		future		M	S	3	participle	low	VM	wrong_lemma	1	होंग	fullnews_id_2578379_date_7_7_2004.dat	63
कर	कर				F	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578380_date_7_7_2004.dat	11
रखा	रख	perfective			M	S	3	participle	low	VM	wrong_features	1	रख	fullnews_id_2578380_date_7_7_2004.dat	20
दी	दे	perfective			F	S	3	irregular	high	VM	wrong_features	1	दे	fullnews_id_2578380_date_7_7_2004.dat	27
की	कर	perfective			F	S	3	irregular	high	VM	wrong_features	1	कर	fullnews_id_2578380_date_7_7_2004.dat	36
किए	कर	perfective			M	P	3	irregular	high	VM	wrong_features	2	कर|कि	fullnews_id_2578380_date_7_7_2004.dat	47
आने	आ					S		participle	low	VM	wrong_lemma	1	आन	fullnews_id_2578380_date_7_7_2004.dat	53
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578380_date_7_7_2004.dat	56
चाहता	चाह	imperfective			M	S	3	participle	low	VM	wrong_features	2	चाह|चाहत	fullnews_id_2578380_date_7_7_2004.dat	63
चाहती	चाह	imperfective			F	S	3	participle	low	VM	wrong_features	2	चाह|चाहत	fullnews_id_2578380_date_7_7_2004.dat	77
दिया	दे	perfective				S	3	irregular	high	VM	wrong_features	5	दे|दी|दे|दि|दिय	fullnews_id_2578380_date_7_7_2004.dat	86
की	कर	perfective			F	S	3	irregular	high	VM	wrong_features	1	कर	fullnews_id_2578380_date_7_7_2004.dat	92
हुआ	हो	perfective			M	S		unknown	none	VM	no_analysis	0		fullnews_id_2578380_date_7_7_2004.dat	99
की	कर	perfective			F	S	3	irregular	high	VM	wrong_features	1	कर	fullnews_id_2578380_date_7_7_2004.dat	110
किया	कर	perfective			M	S	3	irregular	high	VM	wrong_features	5	कर|की|के|कि|किय	fullnews_id_2578380_date_7_7_2004.dat	128
ली	ले	perfective			F	S	3	irregular	high	VM	wrong_features	1	ले	fullnews_id_2578380_date_7_7_2004.dat	152
लेगी	ले		future		F	S	3	participle	low	VM	wrong_lemma	1	लेग	fullnews_id_2578380_date_7_7_2004.dat	162
देगी	दे		future		F	S	3	participle	low	VM	wrong_lemma	1	देग	fullnews_id_2578380_date_7_7_2004.dat	167
करेंगे	कर		future		M	S	3	finite	medium	VM	wrong_features	2	कर|करेंग	fullnews_id_2578380_date_7_7_2004.dat	179
रहेंगे	रह		future		M	P	3	finite	medium	VM	wrong_features	2	रह|रहेंग	fullnews_id_2578380_date_7_7_2004.dat	189
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578380_date_7_7_2004.dat	194
किया	कर	perfective			M	S	3	irregular	high	VM	wrong_features	5	कर|की|के|कि|किय	fullnews_id_2578380_date_7_7_2004.dat	233
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578380_date_7_7_2004.dat	239
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578380_date_7_7_2004.dat	263
किया	कर	perfective			M	S	3	irregular	high	VM	wrong_features	5	कर|की|के|कि|किय	fullnews_id_2578380_date_7_7_2004.dat	274
लाया	ला	perfective			M	S	3	participle	low	VM	wrong_features	2	ला|लाय	fullnews_id_2578380_date_7_7_2004.dat	279
मिले	मिल			subjunctive		S	3	participle	low	VM	wrong_features	1	मिल	fullnews_id_2578380_date_7_7_2004.dat	287
चल	चल				F	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578380_date_7_7_2004.dat	292
किया	कर	perfective			M	S	3	irregular	high	VM	wrong_features	5	कर|की|के|कि|किय	fullnews_id_2578380_date_7_7_2004.dat	300
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578380_date_7_7_2004.dat	319
रखता	रख	imperfective			M	S	3	participle	low	VM	wrong_features	2	रख|रखत	fullnews_id_2578380_date_7_7_2004.dat	331
हैं	है		present			P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578380_date_7_7_2004.dat	335
हुई	हो	perfective			F	S	3	participle	low	VM	wrong_lemma	1	हु	fullnews_id_2578380_date_7_7_2004.dat	345
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578380_date_7_7_2004.dat	349
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578380_date_7_7_2004.dat	354
चाहते	चाह	imperfective			M	S	3	participle	low	VM	wrong_features	2	चाह|चाहत	fullnews_id_2578380_date_7_7_2004.dat	361
कर	कर					P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578380_date_7_7_2004.dat	371
अपनाया	अपना	perfective			M	S	3	participle	low	VM	wrong_features	2	अपना|अपनाय	fullnews_id_2578381_date_7_7_2004.dat	13
करने	कर					P		participle	low	VM	wrong_features	2	कर|करन	fullnews_id_2578381_date_7_7_2004.dat	23
कहा	कह	perfective			M	S	3	participle	low	VM	wrong_features	1	कह	fullnews_id_2578381_date_7_7_2004.dat	26
कहा	कह	perfective			M	S	3	participle	low	VM	wrong_features	1	कह	fullnews_id_2578381_date_7_7_2004.dat	35
मिली	मिल	perfective			F	P		participle	low	VM	wrong_features	1	मिल	fullnews_id_2578381_date_7_7_2004.dat	40
कराने	करा					P		participle	low	VM	wrong_features	2	करा|करान	fullnews_id_2578381_date_7_7_2004.dat	44
कर	कर				F	P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578381_date_7_7_2004.dat	53
होता	हो	imperfective			M	S	3	participle	low	VM	wrong_features	2	हो|होत	fullnews_id_2578381_date_7_7_2004.dat	59
ले	ले				F	P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578381_date_7_7_2004.dat	67
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578381_date_7_7_2004.dat	71
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578381_date_7_7_2004.dat	76
देनी	दे				F	S	3	participle	low	VM	wrong_features	2	दे|देन	fullnews_id_2578381_date_7_7_2004.dat	80
होती	हो	imperfective			F	S	3	participle	low	VM	wrong_features	2	हो|होत	fullnews_id_2578381_date_7_7_2004.dat	87
दिया	दे	perfective			M	S	3	irregular	high	VM	wrong_features	5	दे|दी|दे|दि|दिय	fullnews_id_2578381_date_7_7_2004.dat	106
बताती	बता	imperfective			F	S	3	participle	low	VM	wrong_features	2	बता|बतात	fullnews_id_2578381_date_7_7_2004.dat	111
दिया	दे	perfective			M	S	3	irregular	high	VM	wrong_features	5	दे|दी|दे|दि|दिय	fullnews_id_2578381_date_7_7_2004.dat	117
हटा	हटा					P	3	participle	low	VM	wrong_lemma	1	हट	fullnews_id_2578381_date_7_7_2004.dat	133
दिया	दे	perfective			M	S	3	irregular	high	VM	wrong_features	5	दे|दी|दे|दि|दिय	fullnews_id_2578381_date_7_7_2004.dat	143
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578381_date_7_7_2004.dat	148
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578381_date_7_7_2004.dat	158
करते	कर	imperfective			M	S	2	participle	low	VM	wrong_features	2	कर|करत	fullnews_id_2578382_date_7_7_2004.dat	5
हो	हो					S	2	unknown	none	VM	no_analysis	0		fullnews_id_2578382_date_7_7_2004.dat	8
कर	कर				M	P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578382_date_7_7_2004.dat	15
होने	हो					P		participle	low	VM	wrong_features	2	हो|होन	fullnews_id_2578382_date_7_7_2004.dat	21
पहुंचा	पहुंच	perfective			M	P	3	participle	low	VM	wrong_features	1	पहुंच	fullnews_id_2578382_date_7_7_2004.dat	30
करते	कर	imperfective			M	S		participle	low	VM	wrong_features	2	कर|करत	fullnews_id_2578382_date_7_7_2004.dat	36
आने	आ					S		participle	low	VM	wrong_lemma	1	आन	fullnews_id_2578382_date_7_7_2004.dat	41
पहुंचा	पहुंच	perfective			F	P	3	participle	low	VM	wrong_features	1	पहुंच	fullnews_id_2578382_date_7_7_2004.dat	45
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578382_date_7_7_2004.dat	50
हो	हो				M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578382_date_7_7_2004.dat	60
उठे	उठ	perfective			M	S		participle	low	VM	wrong_features	1	उठ	fullnews_id_2578383_date_7_7_2004.dat	4
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	10
खुलकर	खुल							unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	14
आ	आ					S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	18
बोले	बोल	perfective			M	S	3	participle	low	VM	wrong_features	1	बोल	fullnews_id_2578383_date_7_7_2004.dat	20
मचे	मच	perfective			M	S		participle	low	VM	wrong_features	1	मच	fullnews_id_2578383_date_7_7_2004.dat	52
छोड़कर	छोड़							unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	59
आ	आ					S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	62
होने	हो					S	3	participle	low	VM	wrong_features	2	हो|होन	fullnews_id_2578383_date_7_7_2004.dat	67
NULL	null							unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	69
पहुंचकर	पहुंच							unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	74
निकाले	निकाल	perfective			M	P	3	participle	low	VM	wrong_features	1	निकाल	fullnews_id_2578383_date_7_7_2004.dat	91
बताते	बता	imperfective			M	S		participle	low	VM	wrong_features	2	बता|बतात	fullnews_id_2578383_date_7_7_2004.dat	97
चाहते	चाह	imperfective			M	S	3	participle	low	VM	wrong_features	2	चाह|चाहत	fullnews_id_2578383_date_7_7_2004.dat	102
रहें	रह			subjunctive		P	3	finite	low	VM	wrong_features	1	रह	fullnews_id_2578383_date_7_7_2004.dat	109
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	157
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	162
बताए	बता	perfective				S		participle	low	VM	wrong_features	1	बता	fullnews_id_2578383_date_7_7_2004.dat	172
हैं	है		present			P	1	unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	174
पहुंचे	पहुंच	perfective			M	S	3	participle	low	VM	wrong_features	1	पहुंच	fullnews_id_2578383_date_7_7_2004.dat	181
हैं	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	190
चाहता	चाह	imperfective			M	S	1	participle	low	VM	wrong_features	2	चाह|चाहत	fullnews_id_2578383_date_7_7_2004.dat	201
बनाकर	बना				M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	205
कराए	करा			subjunctive		S	3	participle	low	VM	wrong_features	1	करा	fullnews_id_2578383_date_7_7_2004.dat	209
कर	कर				M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	213
हैं	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	223
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	228
जुड़े	जुड़	perfective			M	S		participle	low	VM	wrong_features	1	जुड़	fullnews_id_2578383_date_7_7_2004.dat	244
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	248
दे	दे					S		unknown	none	VM	no_analysis	0		fullnews_id_2578383_date_7_7_2004.dat	257
की	कर	perfective			F	S	1	irregular	high	VM	wrong_features	1	कर	fullnews_id_2578383_date_7_7_2004.dat	269
चाहते	चाह	imperfective			M	P	1	participle	low	VM	wrong_features	2	चाह|चाहत	fullnews_id_2578383_date_7_7_2004.dat	272
बने	बन	perfective			M	S	3	participle	low	VM	wrong_features	1	बन	fullnews_id_2578383_date_7_7_2004.dat	276
लेकर	ले							unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	4
हो	हो				F	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	8
बांट	बांट					S		unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	19
दे	दे					S		unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	32
दिया	दे	perfective			M	S	3	irregular	high	VM	wrong_features	5	दे|दी|दे|दि|दिय	fullnews_id_2578384_date_7_7_2004.dat	37
बौखलाए	बौखला	perfective			M	S	3	participle	low	VM	wrong_features	1	बौखला	fullnews_id_2578384_date_7_7_2004.dat	42
बताया	बता	perfective			M	S	3	participle	low	VM	wrong_features	2	बता|बताय	fullnews_id_2578384_date_7_7_2004.dat	47
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	59
करने	कर					P		participle	low	VM	wrong_features	2	कर|करन	fullnews_id_2578384_date_7_7_2004.dat	69
फिर	फिर				M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	72
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	80
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	87
निभाते	निभा	imperfective			M	S		participle	low	VM	wrong_features	2	निभा|निभात	fullnews_id_2578384_date_7_7_2004.dat	94
हैं	है		present			P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	110
सौंप	सौंप					S		unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	124
मिलने	मिल					P		participle	low	VM	wrong_features	2	मिल|मिलन	fullnews_id_2578384_date_7_7_2004.dat	131
टिकी	टिक	perfective			F	P	3	participle	low	VM	wrong_features	1	टिक	fullnews_id_2578384_date_7_7_2004.dat	133
छोड़ी	छोड़	perfective			F	P	3	participle	low	VM	wrong_features	1	छोड़	fullnews_id_2578384_date_7_7_2004.dat	144
हुई	हो	perfective			F	S		participle	low	VM	wrong_lemma	1	हु	fullnews_id_2578384_date_7_7_2004.dat	153
हुई	हो	perfective			F	S		participle	low	VM	wrong_lemma	1	हु	fullnews_id_2578384_date_7_7_2004.dat	163
थे	था		past		M	P		unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	194
तन	तन				F	P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	203
बताया	बता	perfective			M	S	3	participle	low	VM	wrong_features	2	बता|बताय	fullnews_id_2578384_date_7_7_2004.dat	210
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	219
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	224
थी	था		past		F	S		unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	230
हो	हो				M	P		unknown	none	VM	no_analysis	0		fullnews_id_2578384_date_7_7_2004.dat	238
रहेंगे	रह		future		M	P	3	finite	medium	VM	wrong_features	2	रह|रहेंग	fullnews_id_2578385_date_7_7_2004.dat	10
पहनकर	पहन							unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	14
आ	आ				M	P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	20
कर	कर				M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	29
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	41
कर	कर					P		unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	46
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	61
कहा	कह	perfective			M	S	3	participle	low	VM	wrong_features	1	कह	fullnews_id_2578385_date_7_7_2004.dat	78
कहा	कह	perfective			M	S	3	participle	low	VM	wrong_features	1	कह	fullnews_id_2578385_date_7_7_2004.dat	83
हो	हो				M	P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	90
करते	कर	imperfective			M	P	3	participle	low	VM	wrong_features	2	कर|करत	fullnews_id_2578385_date_7_7_2004.dat	94
कर	कर					S		unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	101
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	107
हैं	है		present			P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	116
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	121
आने	आ							participle	low	VM	wrong_lemma	1	आन	fullnews_id_2578385_date_7_7_2004.dat	124
बढ़ेगी	बढ़		future		F	S	3	finite	medium	VM	wrong_features	2	बढ़|बढ़ेग	fullnews_id_2578385_date_7_7_2004.dat	130
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	135
उठाएं	उठा			subjunctive		P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	144
करते	कर	imperfective			M	S		participle	low	VM	wrong_features	2	कर|करत	fullnews_id_2578385_date_7_7_2004.dat	161
कर	कर				M	S		unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	177
कर	कर				M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	189
बन	बन				M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	195
कर	कर				M	P	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	226
जताई	जता	perfective			F	S	3	participle	low	VM	wrong_features	1	जता	fullnews_id_2578385_date_7_7_2004.dat	240
सुन	सुन				F	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	252
दिए	दे	perfective			M	S		irregular	high	VM	wrong_features	2	दे|दि	fullnews_id_2578385_date_7_7_2004.dat	264
कर	कर				F	S		unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	267
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	272
दिया	दे	perfective			M	S	3	irregular	high	VM	wrong_features	5	दे|दी|दे|दि|दिय	fullnews_id_2578385_date_7_7_2004.dat	278
कर	कर					S	1	unknown	none	VM	no_analysis	0		fullnews_id_2578385_date_7_7_2004.dat	289
मिलेगा	मिल		future		M	S	3	finite	medium	VM	wrong_features	2	मिल|मिलेग	fullnews_id_2578385_date_7_7_2004.dat	300
देखेंगे	देख		future		M	S	3	finite	medium	VM	wrong_features	2	देख|देखेंग	fullnews_id_2578386_date_7_7_2004.dat	18
रहेंगे	रह		future		M	S	3	finite	medium	VM	wrong_features	2	रह|रहेंग	fullnews_id_2578386_date_7_7_2004.dat	25
किया	कर	perfective			M	S	3	irregular	high	VM	wrong_features	5	कर|की|के|कि|किय	fullnews_id_2578386_date_7_7_2004.dat	37
लिखकर	लिख							unknown	none	VM	no_analysis	0		fullnews_id_2578386_date_7_7_2004.dat	45
मांगे	मांग	perfective			M	P	3	participle	low	VM	wrong_features	1	मांग	fullnews_id_2578386_date_7_7_2004.dat	48
हो	हो							unknown	none	VM	no_analysis	0		fullnews_id_2578386_date_7_7_2004.dat	61
बढ़	बढ़				M	S		unknown	none	VM	no_analysis	0		fullnews_id_2578386_date_7_7_2004.dat	86
कर	कर					S		unknown	none	VM	no_analysis	0		fullnews_id_2578386_date_7_7_2004.dat	94
थे	था		past		M	S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578386_date_7_7_2004.dat	108
किया	कर	perfective			M	S	3	irregular	high	VM	wrong_features	5	कर|की|के|कि|किय	fullnews_id_2578386_date_7_7_2004.dat	124
बनाए	बना	perfective			M	S		participle	low	VM	wrong_features	1	बना	fullnews_id_2578386_date_7_7_2004.dat	129
करते	कर	imperfective			M	S		participle	low	VM	wrong_features	2	कर|करत	fullnews_id_2578386_date_7_7_2004.dat	132
है	है		present			S	3	unknown	none	VM	no_analysis	0		fullnews_id_2578386_date_7_7_2004.dat	136
चाहते	चाह	imperfective			M	S	3	participle	low	VM	wrong_features	2	चाह|चाहत	fullnews_id_2578386_date_7_7_2004.dat	147
दें	दे					S	3	unknown	none	VAUX	no_analysis	0		fullnews_id_2578386_date_7_7_2004.dat	152
करा	करा				M	S		participle	low	VM	wrong_lemma	1	कर	fullnews_id_2578386_date_7_7_2004.dat	160
देखते	देख	imperfective			M	S		participle	low	VM	wrong_features	2	देख|देखत	fullnews_id_2578386_date_7_7_2004.dat	166
थी	था		past		F	S		unknown	none	VM	no_analysis	0		fullnews_id_2578386_date_7_7_2004.dat	175
