word	paradigm_class	confidence
कमलापति	F4	heuristic
कमलासन	F3	certain
कमलिनी	F1	certain
कमली	F1	heuristic
कमलेश	F3	certain
कमांडर	F3	certain
कमाई	F1	certain
कमाऊ	M4	certain
कमान	F3	certain
कमानी	F1	certain
कमाल	F3	certain
कमालियत	F3	certain
कमिश्नर	M2	certain
कमिश्नरी	F1	certain
कमी	F1	certain
कमीज	F3	certain
कमीज़	F3	certain
कमीना	M1	certain
कमीनापन	M2	certain
कमीशन	F3	certain
कमेंटेटर	M2	certain
कमेटी	F1	certain
कमेला	M1	heuristic
कम्पनी	F1	certain
कम्युनिस्ट	F3	certain
कम्यूनिज्म	F3	certain
कम्यूनिस्ट	F3	certain
कर	M2	certain
करकट	F3	certain
करकमल	M2	certain
करघा	M1	certain
करछी	F1	certain
करछुली	F1	heuristic
करण	F3	certain
करणकारक	F3	certain
करणी	F1	certain
करतब	M2	certain
करतल	F3	certain
करताली	F1	heuristic
करतूत	F3	certain
करदाता	M1	heuristic
करधनी	F1	certain
करना	M1	heuristic
करनाई	F1	heuristic
करनाटकी	F1	heuristic
करनी	F1	certain
करनेवाला	M1	certain
करपात्र	M2	certain
करफ्यू	M4	certain
करम	F3	certain
करमभोग	F3	certain
करमाला	F2	certain
करवट	F3	certain
करवाली	F1	heuristic
कराघात	F3	certain
करापवंचन	F3	certain
कराबा	M1	heuristic
करामात	F3	certain
करार	F3	certain
कराली	F1	certain
कराह	F3	certain
कराही	F1	heuristic
करिखा	F2	certain
करियर	F3	certain
करिश्मा	M1	certain
करी	F1	certain
करील	F3	certain
करुण	F3	certain
करुणा	F2	certain
करुणाहीनता	M1	certain
करेंट	F3	certain
करेजा	M1	heuristic
करेला	M1	certain
करेली	F1	certain
करैला	M1	certain
करैली	F1	certain
करोड़	M2	certain
करोड़पति	M3	certain
करौंदा	M1	certain
करौती	F1	heuristic
करौली	F1	heuristic
कर्क	F3	certain
कर्कट	F3	certain
कर्करेखा	F2	certain
कर्घा	M1	heuristic
कर्ज	M2	certain
कर्जदार	M2	certain
कर्जा	M1	certain
कर्टूनकार	M2	certain
कर्ण	F3	certain
कर्णकटु	F5	certain
कर्णकुहर	F3	certain
कर्णधार	F3	certain
कर्णपटी	F1	heuristic
कर्णपाली	F1	heuristic
कर्णफूल	M2	certain
कर्णरोग	F3	certain
कर्णवेध	F3	certain
कर्णिका	F2	certain
कर्णिकार	F3	certain
कर्णोत्पल	F3	certain
कर्तन	F3	certain
कर्तनी	F1	certain
कर्तव्य	M2	certain
कर्ता	M1	certain
कर्ताधर्ता	M1	certain
कर्तार	F3	certain
कर्त्तव्य	M2	certain
कर्त्ता	M1	heuristic
कर्त्र्‍का	F2	certain
कर्त्र्‍त्व	F3	certain
कर्दम	F3	certain
कर्नल	M2	certain
कर्पूर	F3	certain
कर्फ्यू	M4	certain
कर्म	M2	certain
कर्मकांड	M2	certain
कर्मकांडी	M3	certain
कर्मकाण्ड	M2	certain
कर्मकार	M2	certain
कर्मकारक	F3	certain
कर्मक्षय	F3	certain
कर्मचारिव्र्‍ंद	F3	certain
कर्मचारी	M3	certain
कर्मधारय	F3	certain
कर्मफल	M2	certain
कर्मभूमि	F4	certain
कर्मयोग	M2	certain
कर्मवाद	M2	certain
कर्मविपाक	M2	certain
कर्मशाला	F2	certain
कर्मसंग	M2	certain
कर्मसाक्षी	M3	certain
कर्महीनता	M1	heuristic
कर्मी	M3	certain
कर्मीदल	M2	certain
कर्मेंद्रिय	F3	certain
कर्यकर्ता	M1	certain
कर्यकाल	M2	certain
कर्यालय	M2	certain
कर्ष	M2	certain
कर्षण	M2	certain
कलंक	M2	certain
कलंडर	M2	certain
कलंदर	F3	certain
कलई	F1	certain
कलकल	F3	certain
कलक्टर	M2	certain
कलक्टरी	F1	certain
कलगी	F1	certain
कलछा	M1	certain
कलछी	F1	certain
कलत्र	F3	certain
कलध्वनि	F4	certain
कलन	F3	certain
कलफ	F3	certain
कलफ़	F3	certain
कलबल	F3	certain
कलभ	F3	certain
कलभी	F1	certain
कलम	F3	certain
कलमा	M1	certain
कलरव	F3	certain
कलवार	F3	certain
कलश	M2	certain
कलशी	F1	certain
कलस	M2	certain
कलसा	M1	certain
कलसी	F1	certain
कलह	F3	certain
कला	F2	certain
कलाई	F1	certain
कलाकार	M2	certain
कलाकारिता	M1	heuristic
कलाकारी	F1	certain
कलाकौशल	F3	certain
कलात्मकता	M1	heuristic
कलानिधि	F4	heuristic
कलाप	F3	certain
कलापिनी	F1	heuristic
कलापी	F1	heuristic
कलापूर्णता	M1	heuristic
कलाबा	M1	certain
कलाबाज़	M2	certain
कलाबाज़ी	F1	certain
कलाबाजी	F1	certain
कलाम	F3	certain
कलावंत	F3	certain
कलावती	F1	heuristic
कलावा	M1	heuristic
कलाहीनता	M1	heuristic
कलि	F3	certain
कलिंदा	M1	heuristic
कलिका	M1	heuristic
कलिकाल	F3	certain
कलिमल	F3	certain
कलियुग	F3	certain
कली	F1	certain
कलुष	F3	certain
कलेंडर	M2	certain
कलेक्टर	F3	certain
कलेजा	M1	certain
कलेजी	F1	certain
कलेवर	F3	certain
कलेवा	M1	certain
कलोल	F3	certain
कल्कि	F3	certain
कल्किपुराण	F3	certain
कल्प	F3	certain
कल्पन	F3	certain
कल्पना	F2	certain
कल्पनाचित्र	M2	certain
कल्पनावाद	F3	certain
कल्पनाशक्ति	F4	certain
कल्पनास्र्‍ष्टि	F4	certain
कल्पांत	F3	certain
कल्मष	F3	certain
कल्याण	F3	certain
कल्याणी	F1	certain
कल्ला	M1	certain
कल्लोल	F3	certain
कल्वरिया	M1	heuristic
कवच	F3	certain
कवयिता	M1	certain
कवयित्री	F1	certain
कवर	F3	certain
कवरिया	M1	certain
कवर्ग	F3	certain
कवल	F3	certain
कवायद	F3	certain
कवि	M3	certain
कविगोष्ठी	F1	certain
कविता	F2	certain
कवित्त	M2	certain
कवित्व	F3	certain
कविपुत्र	M2	certain
कविराज	M2	certain
कवींद्र	F3	certain
कव्य	F3	certain
कव्वाली	F1	certain
कश	M2	certain
कशमकश	F3	certain
कशिश	F3	certain
कशीदा	M1	heuristic
कशेरुका	M1	heuristic
कशेरुकी	F1	heuristic
कश्ती	F1	certain
कश्मीरी	M3	certain
कष्ट	M2	certain
कसक	F3	certain
कसना	F2	certain
कसबा	M1	certain
कसम	F3	certain
कसमसाना	M1	heuristic
कसमसाहट	F3	certain
कसर	M2	certain
कसरत	F3	certain
कसरहट्टा	M1	heuristic
कसा	M1	certain
कसाई	M3	certain
कसाईखाना	M1	certain
कसाईघर	M2	certain
कसाकसी	F1	certain
कसार	F3	certain
कसीस	F3	certain
कसूर	M2	certain
कसूरवार	M2	certain
कसेरा	M1	certain
कसोरा	M1	certain
कसौटी	F1	certain
कस्टम	F3	certain
कस्टमर	M2	certain
कस्तूरी	F1	certain
कस्बा	M1	certain
कहकहा	M1	certain
कहना	M1	certain
कहर	F3	certain
कहरवा	M1	certain
कहवा	M1	certain
कहा	M1	certain
कहानी	F1	certain
कहार	M2	certain
कहावत	F3	certain
कहासुना	M1	certain
कहासुनी	F1	certain
क़तार	F3	certain
क़त्ल	M2	certain
क़द	F3	certain
क़दम	F3	certain
क़द्र	F3	certain
क़द्रदानी	F1	certain
क़बीला	M1	certain
क़ब्ज	F3	certain
क़ब्जा	M1	certain
क़ब्जियत	F3	certain
क़ब्र	F3	certain
क़ब्रिस्तान	F3	certain
क़यामत	F3	certain
क़राबा	M1	heuristic
क़र्ज	F3	certain
क़र्जदार	M2	certain
क़लई	F1	certain
क़लईगर	F3	certain
क़लमजीवी	F1	heuristic
क़सबा	M1	certain
क़सम	F3	certain
क़साई	M3	certain
क़ाज़ी	F1	heuristic
क़ानूनी	F1	heuristic
क़ाबिलीयत	F3	certain
क़ालीन	M2	certain
क़िस्त	F3	certain
क़िस्तबंदी	F1	certain
क़ीमत	F3	certain
क़ीमा	M1	certain
क़ुतुबमीनार	F3	certain
क़ुदरत	F3	certain
क़ुरई	F1	heuristic
क़ुरबानी	F1	heuristic
क़ुर्बानी	F1	certain
क़ैद	F3	certain
क़ैदख़ाना	M1	certain
क़ौवाली	F1	certain
काँकरी	F1	heuristic
काँच	F3	certain
काँटा	M1	heuristic
काँटी	F1	heuristic
काँदा	M1	heuristic
काँधा	M1	heuristic
काँसा	M1	heuristic
कांग्रेस	F3	certain
कांचन	F3	certain
कांजीहाउस	M2	certain
कांड	F3	certain
कांता	F2	certain
कांति	F4	certain
कांस्टेबल	M2	certain
कांस्य	F3	certain
काई	F1	certain
काउंटर	M2	certain
काउंटी	M3	certain
काक	F3	certain
काककला	F2	certain
काकजात	F3	certain
काकदंत	F3	certain
काकध्वज	F3	certain
काकनासा	F2	certain
काकपाली	F1	certain
काकरेजी	F1	heuristic
काका	M1	certain
काकी	F1	certain
काकोदुंबरिका	M1	heuristic
कागज	M2	certain
कागजी	F1	certain
काग़ज़	M2	certain
काग़ज़पत्र	M2	certain
काग़ज़ात	M2	certain
काग़ज़ीकार्यवाही	F1	certain
काग़ज़ीसबूत	F3	certain
कागा	M1	heuristic
काच	F3	certain
काछ	F3	certain
काज	F3	certain
काजभाषा	M1	heuristic
काजल	F3	certain
काज़ी	M3	certain
काजू	M4	certain
काट	F3	certain
काटछट	F3	certain
काठ	F3	certain
काठिन्य	F3	certain
काठियावाड़	F3	certain
काठियावाडी	M3	certain
काठी	F1	certain
काढा	M1	heuristic
कातिक	F3	certain
कातिब	F3	certain
कात्यायन	F3	certain
कात्यायनी	F1	certain
कादंबरी	F1	certain
कादंबिनी	F1	certain
कान	M2	certain
कानन	M2	certain
काना	M1	certain
कानाकानी	F1	certain
कानागोसी	F1	heuristic
कानाफुसकी	F1	heuristic
कानाफूसी	F1	certain
कानाबाती	F1	heuristic
कानीन	F3	certain
कानून	M2	certain
कान्फरेंस	F3	certain
कान्फरेन्स	M2	certain
कान्यकुब्ज	F3	certain
कान्हा	M1	heuristic
कापथ	F3	certain
कापालिक	F3	certain
कापाली	F1	certain
कापी	F1	certain
कापुरुष	M2	certain
काफ़िर	M2	certain
काफ़िला	M1	certain
काफ़ी	M3	certain
काफिया	M1	heuristic
काफी	M3	certain
काबा	M1	certain
काम	M2	certain
कामकला	F2	certain
कामकाज	M2	certain
कामचोर	M2	certain
कामज्वर	F3	certain
कामदार	M2	certain
कामदेव	F3	certain
कामदेवी	F1	heuristic
कामधाम	F3	certain
कामधेनु	F5	certain
कामध्वज	F3	certain
कामना	F2	certain
कामनापूर्णता	M1	heuristic
कामपाल	F3	certain
कामफल	F3	certain
कामबाण	M2	certain
कामयाबी	F1	certain
कामरी	F1	heuristic
कामरेड	F3	certain
कामली	F1	heuristic
कामलोक	F3	certain
कामशास्त्र	F3	certain
कामसूत्र	F3	certain
कामाक्षी	F1	certain
कामाख्या	F2	certain
कामाग्नि	F4	certain
कामात्मज	F3	certain
कामायनी	F1	certain
कामायुध	F3	certain
कामिनी	F1	certain
कामुकता	M1	heuristic
कामेच्छा	M1	heuristic
कामोन्माद	F3	certain
काय	F3	certain
कायचिकित्सा	F2	certain
कायदा	M1	heuristic
कायर	M2	certain
कायरता	M1	heuristic
कायस्थ	M2	certain
कायस्थी	F1	certain
काया	F2	certain
कायाकल्प	F3	certain
कायापलट	F3	certain
कार	F3	certain
कारक	F3	certain
कारकविभक्ति	F4	certain
कारख़ाना	M1	certain
कारखाना	M1	certain
कारगर	F3	certain
कारटून	F3	certain
कारटूनिस्ट	F3	certain
कारण	M2	certain
कारतूस	M2	certain
कारनामा	M1	certain
कारबन	M2	certain
कारबनपेपर	M2	certain
कारबार	M2	certain
कारव	M1	certain
कारसतानी	F1	heuristic
कारा	F2	certain
कारागार	M2	certain
कारावास	F3	certain
कारिका	F2	certain
कारीगर	M2	certain
कारीगरी	F1	certain
कारुण्य	F3	certain
कारोबार	F3	certain
कारोबारी	F1	heuristic
कार्क	M2	certain
कार्टून	M2	certain
कार्ड	M2	certain
कार्डिनल	M2	certain
कार्तिक	F3	certain
कार्तिकी	F1	certain
कार्तिकेय	F3	certain
कार्पण्य	F3	certain
कार्बन	F3	certain
कार्मिक	F3	certain
कार्मूक	F3	certain
कार्य	M2	certain
कार्यकर्ता	M1	certain
कार्यकारिणी	F1	certain
कार्यकारी	F1	heuristic
कार्यकाल	F3	certain
कार्यकुशलता	F2	certain
कार्यक्रम	M2	certain
कार्यक्षमता	F2	certain
कार्यदक्षता	M1	heuristic
कार्यदल	M2	certain
कार्यपालिका	M1	heuristic
कार्यपूर्ति	F4	heuristic
कार्यप्रणाली	F1	heuristic
कार्यभार	F3	certain
कार्यमंत्री	F1	heuristic
कार्यवाही	F1	certain
कार्यविधि	F4	heuristic
कार्यशक्ति	F4	certain
कार्यसमिति	F4	certain
कार्यसिद्धि	F4	certain
कार्याकार्य	F3	certain
कार्याधिप	F3	certain
कार्याध्यक्ष	F3	certain
कार्यान्वय	F3	certain
कार्यान्वयन	F3	certain
कार्यालय	M2	certain
कार्रवाई	F1	certain
कार्ष्णि	F4	heuristic
कारख़ाना	M1	certain
काल	F3	certain
कालकंठ	F3	certain
कालकोठरी	F1	certain
कालक्रम	F3	certain
कालचक्र	F3	certain
कालनेमि	F4	heuristic
कालनेमी	F1	heuristic
कालम	M2	certain
कालर	M2	certain
कालरा	M1	certain
कालरात्रि	F4	certain
काला	M1	certain
कालांतर	F3	certain
कालाकानून	F3	certain
कालाचोर	F3	certain
कालापानी	F1	heuristic
कालावधि	F4	certain
कालाशौच	F3	certain
कालिंजर	F3	certain
कालिंदी	F1	certain
कालिका	F2	certain
कालिकापुराण	F3	certain
कालिख	F3	certain
कालिदास	F3	certain
कालिनी	F1	certain
कालिमा	F2	certain
काली	F1	heuristic
कालीन	M2	certain
कालीमिट्टी	F1	heuristic
कालुष्य	F3	certain
कालेज	M2	certain
कालोनी	F1	certain
काल्पनिक	F3	certain
कावेरी	F1	certain
काव्य	M2	certain
काश	F3	certain
काशी	F1	certain
काशीफल	M2	certain
काश्त	M2	certain
काश्तकार	M2	certain
काश्तकारी	F1	certain
काष्ठ	F3	certain
काष्ठागार	M2	certain
कासा	M1	heuristic
काफ़ी	F1	certain
किंकर	F3	certain
किंपुरुष	F3	certain
किंवदंती	F1	certain
किंवदन्ति	F4	heuristic
किचकिच	F3	certain
किचकिचाहट	F3	certain
किचपिच	F3	certain
किताब	F3	certain
किताबी	F1	certain
किताबीकीडा	M1	certain
किनकी	F1	heuristic
किनार	F3	certain
किनारा	M1	certain
किनारी	F1	certain
किन्नर	M2	certain
किन्नरी	F1	certain
किफ़ायत	F3	certain
किफ़ायती	F1	certain
किफायत	F3	certain
किफायती	F1	certain
किरकिरा	M1	certain
किरकिरी	F1	heuristic
किरण	F3	certain
किरमिच	F3	certain
किरात	M2	certain
किरातार्जुनीय	F3	certain
किराना	M1	certain
किराया	M1	certain
किरायेदार	M2	certain
किरासन	F3	certain
किरिस्तानी	F1	heuristic
किरीट	M2	certain
किलकार	F3	certain
किलकारी	F1	certain
किलकिलाहट	F3	certain
किलनी	F1	heuristic
किलवारी	F1	heuristic
किला	M1	certain
किलाबंदी	F1	certain
किलावा	M1	heuristic
किलेदार	M2	certain
किलेदारी	F1	certain
किल्लत	F3	certain
किल्ला	M1	heuristic
किल्विष	F3	certain
किवाड़	M2	certain
किवाड़	M2	certain
किशमिश	M2	certain
किशल	M2	certain
किशलय	M2	certain
किशोर	M2	certain
किशोरावस्था	M1	heuristic
किशोरी	F1	heuristic
किश्त	F3	certain
किश्ती	F1	certain
किष्किंधा	M1	certain
किष्किंध्या	M1	certain
किसनी	F1	heuristic
किसान	M2	certain
किसानी	F1	certain
किसोरावस्था	F2	certain
किस्त	F3	certain
किस्म	F3	certain
किस्मत	F3	certain
किस्मतआजमाई	F1	certain
किस्सा	M1	certain
कीचक	F3	certain
कीचड़	F3	certain
कीट	M2	certain
कीटनाशक	F3	certain
कीटनाशी	F1	heuristic
कीटभक्षी	F1	heuristic
कीटभोजी	F1	heuristic
कीटाणु	M4	certain
कीड़ा	M1	certain
कीडा	M1	certain
कीप	F3	certain
कीमत	F3	certain
कीमा	M1	certain
कीमियागरी	F1	heuristic
कीर्तन	F3	certain
कीर्तनकार	M2	certain
कीर्तनिया	M1	certain
कीर्ति	F4	certain
कीर्तिमान	M2	certain
कीर्तिस्तंभ	F3	certain
कील	F3	certain
कीली	F1	certain
कीसनी	F1	heuristic
कुँजी	F1	heuristic
कुंकुम	F3	certain
कुंचन	F3	certain
कुंज	M2	certain
कुंजडा	M1	certain
कुंजर	M2	certain
कुंजरी	F1	heuristic
कुंजी	F1	certain
कुंठा	F2	certain
कुंड	M2	certain
कुंडल	M2	certain
कुंडलिनी	F1	certain
कुंडली	F1	certain
कुंडा	M1	certain
कुंडी	F1	certain
कुंतल	M2	certain
कुंती	F1	heuristic
कुंदन	F3	certain
कुंदरू	M4	certain
कुंदा	M1	certain
कुंभ	F3	certain
कुंभक	F3	certain
कुंभकर्ण	F3	certain
कुंभकला	F2	certain
कुंभकार	M2	certain
कुंभजात	F3	certain
कुंभपदी	F1	certain
कुंभशाला	F2	certain
कुंभसंभव	F3	certain
कुंभी	F1	certain
कुंहडा	M1	certain
कुंहार	M2	certain
कुकरौंछी	F1	heuristic
कुकर्म	M2	certain
कुकुरमाछी	F1	heuristic
कुकुरमुत्ता	M1	heuristic
कुकुरौंछी	F1	heuristic
कुकुही	F1	heuristic
कुक्कुट	M2	certain
कुक्कुटशाला	M1	heuristic
कुक्कुटी	F1	heuristic
कुक्षि	F4	certain
कुख्याति	F4	certain
कुगति	F4	certain
कुग्रह	F3	certain
कुघात	F3	certain
कुच	M2	certain
कुचक्र	M2	certain
कुचमर्दन	M2	certain
कुचमुख	M2	certain
कुचर्या	F2	certain
कुचाग्र	M2	certain
कुचाल	M2	certain
कुची	F1	certain
कुचेष्टा	F2	certain
कुजात	M2	certain
कुजाति	F4	certain
कुजोग	M2	certain
कुज्जा	M1	heuristic
कुटना	M1	heuristic
कुटनी	F1	certain
कुटाई	F1	certain
कुटिया	F1	certain
कुटिलता	F2	certain
कुटिला	F2	certain
कुटी	F1	certain
कुटीर	M2	certain
कुटुंब	M2	certain
कुटुंबकलह	M2	certain
कुटुंबिक	M2	certain
कुटुंबिनी	F1	certain
कुटुंबी	M3	certain
कुठला	M1	heuristic
कुठार	M2	certain
कुठाराघात	M2	certain
कुढन	F3	certain
कुतका	M1	heuristic
कुतबनुमा	M1	heuristic
कुतिया	F1	certain
कुतुबनुमा	M1	heuristic
कुतूहल	M2	certain
कुत्ता	M1	certain
कुत्ती	F1	certain
कुत्सन	M2	certain
कुदान	F3	certain
कुदाल	M2	certain
कुदाली	F1	heuristic
कुदिन	M2	certain
कुदृष्टि	F4	heuristic
कुद्र्‍ष्टि	F4	certain
कुधर्म	M2	certain
कुनबा	M1	certain
कुनाई	F1	heuristic
कुनैन	F3	certain
कुपथ्याहार	M2	certain
कुपरामर्श	M2	certain
कुपात्र	M2	certain
कुपात्रता	M1	heuristic
कुपुत्र	M2	certain
कुपोषण	M2	certain
कुप्पा	M1	certain
कुप्रथा	F2	certain
कुप्रबंध	M2	certain
कुप्रयत्न	M2	certain
कुप्रसिद्धि	F4	heuristic
कुबजा	M1	heuristic
कुबड़ा	M1	certain
कुबड़ी	F1	certain
कुबडी	F1	heuristic
कुबरी	F1	heuristic
कुबुद्धि	F4	certain
कुबेर	M2	certain
कुबेला	F2	certain
कुब्जा	F2	certain
कुभाव	M2	certain
कुमंत्रणा	M1	heuristic
कुमकुम	M2	certain
कुमकुमा	M1	heuristic
कुमति	F4	certain
कुमार	M2	certain
कुमारता	M1	heuristic
कुमारी	F1	certain
कुमार्ग	M2	certain
कुमुद	M2	certain
कुमुदकला	F2	certain
कुमुदकिरण	F3	certain
कुमुदनाथ	M2	certain
कुमुदिनी	F1	certain
कुम्हडा	M1	heuristic
कुम्हडौरी	F1	certain
कुम्हरौटी	F1	certain
कुम्हार	M2	certain
कुयोग	M2	certain
कुरंगनाभि	F4	heuristic
कुरंगी	F1	heuristic
कुरकी	F1	heuristic
कुरकुर	M2	certain
कुरकुराहट	F3	certain
कुरता	M1	certain
कुरती	F1	certain
कुरबनी	F1	heuristic
कुरबान	M2	certain
कुरबानी	F1	certain
कुररी	F1	heuristic
कुरसी	F1	certain
कुरान	F3	certain
कुरीति	F4	certain
कुरु	F5	certain
कुरुई	F1	heuristic
कुरुक्षेत्र	F3	certain
कुरुवंशी	F1	heuristic
कुरूप	M2	certain
कुर्क	F3	certain
कुर्क़ी	F1	certain
कुर्की	F1	heuristic
कुर्ता	M1	certain
कुर्द	M2	certain
कुर्बानी	F1	certain
कुर्मी	M3	certain
कुर्सी	F1	certain
कुल	M2	certain
कुलंज	M2	certain
कुलंजन	M2	certain
कुलकन्या	F2	certain
कुलकर्ता	M1	certain
कुलकलंक	M2	certain
कुलक्षण	M2	certain
कुलक्षय	M2	certain
कुलगुरु	F5	certain
कुलटा	F2	certain
कुलतिलक	F3	certain
कुलथी	F1	certain
कुलदीपक	F3	certain
कुलदेव	F3	certain
कुलदेवता	M1	heuristic
कुलद्रुम	F3	certain
कुलधर्म	F3	certain
कुलपति	M3	certain
कुलपरंपरा	F2	certain
कुलफ़ी	F1	certain
कुलफी	F1	certain
कुलबुल	F3	certain
कुलबुलाना	M1	heuristic
कुलबुलाहट	F3	certain
कुलमर्यादा	F2	certain
कुलाबा	M1	heuristic
कुलिश	F3	certain
कुली	M3	certain
कुलीकबारी	M3	certain
कुल्फ़ी	F1	heuristic
कुल्फी	F1	heuristic
कुल्या	M1	heuristic
कुल्ला	M1	certain
कुल्ली	F1	certain
कुल्हडा	M1	heuristic
कुल्हाडा	M1	certain
कुल्हाडी	F1	certain
कुविचार	M2	certain
कुव्यवस्था	M1	heuristic
कुश	F3	certain
कुशकंडिका	F2	certain
कुशध्वज	F3	certain
कुशल	F3	certain
कुशलक्षेम	F3	certain
कुशलता	F2	certain
कुशलप्रश्न	F3	certain
कुशलमंगल	F3	certain
कुशा	M1	heuristic
कुशासन	F3	certain
कुश्ती	F1	certain
कुष्ठ	F3	certain
कुष्ठालय	M2	certain
कुष्मांड	F3	certain
कुसंग	F3	certain
कुसंस्कार	M2	certain
कुसली	F1	heuristic
कुसियारी	F1	heuristic
कुसुम	M2	certain
कुसुमपंचक	F3	certain
कुसुमांजलि	F4	certain
कुसुमाकर	F3	certain
कुसुमायुध	F3	certain
कुसूर	M2	certain
कुसेवा	M1	heuristic
कुहकनी	F1	heuristic
कुहनी	F1	certain
कुहर	F3	certain
कुहरा	M1	certain
कुहराम	F3	certain
कुहारा	M1	heuristic
कुहासा	M1	heuristic
कुॅअर	M2	certain
कुॅअरि	F4	certain
कुॅआरा	M1	certain
कुॅआरी	F1	certain
कुॅवर	M2	certain
कुॅवरि	F4	certain
कुॅवरी	F1	certain
कुॅवारा	M1	certain
कूँचा	M1	heuristic
कूँची	F1	heuristic
कूँडा	M1	heuristic
कूँडी	F1	heuristic
कूक	F3	certain
कूच	F3	certain
कूचा	M1	certain
कूची	F1	certain
कूजा	M1	heuristic
कूटनीति	F4	certain
कूटाख्यान	F3	certain
कूटी	F1	certain
कूटू	M4	certain
कूडा	M1	certain
कूडाकरकट	F3	certain
कूडाख़ाना	M1	certain
कूडाखाना	M1	heuristic
कूद	F3	certain
कूप	M2	certain
कूपन	M2	certain
कूबड़	F3	certain
कूबर	F3	certain
कूर्दन	F3	certain
कूर्म	F3	certain
कूर्मासन	F3	certain
कूल	M2	certain
कूल्हा	M1	certain
कूवा	M1	heuristic
कूहा	M1	heuristic
कूॅचा	M1	certain
कूॅची	F1	certain
कूॅडा	M1	certain
कूड़ादानी	M3	certain
कूड़ाख़ाना	M1	certain
कृतघ्नता	M1	heuristic
कृतज्ञता	M1	heuristic
कृति	M3	certain
कृत्तिका	M1	heuristic
कृत्य	M2	certain
कृत्रिमता	M1	heuristic
कृपणता	M1	heuristic
कृपनाई	F1	heuristic
कृपा	M1	heuristic
कृपाहीनता	M1	heuristic
कृमि	F4	heuristic
कृषि	F4	heuristic
कृष्णा	M1	heuristic
कॅखोरी	F1	certain
कॅगना	M1	certain
कॅटिया	F2	certain
कॅटीला	M1	certain
कॅधा	M1	certain
कॅपकॅपी	F1	certain
केंचुल	F1	certain
केंचुली	F1	certain
केंद्र	M2	certain
केंद्रीकरण	F3	certain
केक	M2	certain
केकडा	M1	certain
केकी	F1	heuristic
केतकी	F1	certain
केतन	F3	certain
केतली	F1	certain
केतु	F5	certain
केतुकुंडली	F1	certain
केतुतारा	M1	certain
केतुरत्न	F3	certain
केतुली	F1	heuristic
केदार	F3	certain
केदारखंड	F3	certain
केदारनाथ	F3	certain
केरल	F3	certain
केरली	F1	certain
केरोसिन	F3	certain
केला	M1	certain
केलि	F4	certain
केवट	F3	certain
केश	F3	certain
केशकर्तनालय	M2	certain
केशपाश	M2	certain
केशरचना	F2	certain
केशरी	F1	heuristic
केशव	F3	certain
केशवपन	F3	certain
केशवायुध	F3	certain
केशविन्यास	F3	certain
केशाकेशि	F4	certain
केशी	F1	heuristic
केस	M2	certain
केसर	F3	certain
केसरी	M3	certain
केॅचली	F1	certain
केॅचुआ	M1	certain
केॅचुवा	M1	certain
कैंची	F1	certain
कैंप	M2	certain
कैंसर	F3	certain
कैकेयी	F1	heuristic
कैद	F3	certain
कैदी	M3	certain
कैफ़ियत	F3	certain
कैबिनेट	F3	certain
कैमरा	M1	certain
कैमिस्ट्री	F1	heuristic
कैरट	F3	certain
कैरा	M1	heuristic
कैलंडर	M2	certain
कैलास	F3	certain
कैलासी	M3	certain
कैलेंडर	F3	certain
कैवल्य	F3	certain
कैश	F3	certain
कैशोर	F3	certain
कैसेट	M2	certain
कॉक्रॉच	M2	certain
कॉन्ट्रेक्ट	M2	certain
कॉन्फरेन्स	M2	certain
कॉन्फ़्रेंस	M2	certain
कॉन्फ्रेंस	M2	certain
कॉपी	F1	heuristic
कॉर्निया	M1	heuristic
कॉलेज	M2	certain
कॉलोनी	F1	heuristic
कोंचनी	F1	heuristic
कोंचा	M1	heuristic
कोंढा	M1	heuristic
कोंपल	F3	certain
कोक	F3	certain
कोका	M1	heuristic
कोकिल	F3	certain
कोकिला	F2	certain
कोकी	F1	heuristic
कोकीनची	F1	heuristic
कोख	F3	certain
कोच	M2	certain
कोचनी	F1	heuristic
कोचिंग	F3	certain
कोचींग	F3	certain
कोट	M2	certain
कोटर	M2	certain
कोटा	M1	certain
कोटि	F4	certain
कोटी	F1	certain
कोठरिया	F1	certain
कोठरी	F1	certain
कोठा	M1	certain
कोठार	M2	certain
कोठिला	M1	heuristic
कोठी	F1	certain
कोठीवाली	F1	heuristic
कोठेवाली	F1	certain
कोडा	M1	certain
कोडी	F1	certain
कोढ	F3	certain
कोढी	M3	certain
कोण	F3	certain
कोणार्क	M2	certain
कोतवाल	M2	certain
कोतवाली	F1	certain
कोताही	F1	certain
कोदंड	F3	certain
कोना	M1	certain
कोनिया	F2	certain
कोप	F3	certain
कोपभवन	F3	certain
कोपल	F3	certain
कोपलता	F2	certain
कोफता	M1	certain
कोमलता	F2	certain
कोमलताई	F1	heuristic
कोमलाई	F1	heuristic
कोयल	F3	certain
कोयला	M1	certain
कोया	M1	heuristic
कोर	F3	certain
कोरम	F3	certain
कोरस	F3	certain
कोर्ट	F3	certain
कोर्टइंस्पेक्टर	F3	certain
कोर्टफ़ीस	F3	certain
कोर्टमार्शल	F3	certain
कोर्स	F3	certain
कोल	F3	certain
कोलकता	M1	heuristic
कोलाहल	F3	certain
कोलाहलहीनता	M1	heuristic
कोल्हू	M4	certain
कोश	M2	certain
कोशकार	F3	certain
कोशकीट	F3	certain
कोशनायक	F3	certain
कोशातकी	F1	heuristic
कोशिका	F2	certain
